SUBJECT,TIME,MARKET_SHARE_PCT,UNIT_PRODUCTION_COST,REGION
Competitor001,0,62.183,100.633,EMEA
Competitor002,0,110.593,130.148,APAC
Competitor003,0,121.326,127.372,AMER
Competitor004,0,89.501,118.258,EMEA
Competitor005,0,117.474,141.033,APAC
Competitor006,0,54.418,90.126,AMER
Competitor007,0,122.191,66.887,EMEA
Competitor008,0,125.997,62.829,APAC
Competitor009,0,113.667,90.832,AMER
Competitor010,0,85.522,84.886,EMEA
Competitor011,0,79.913,53.952,APAC
Competitor012,0,145.05,132.915,AMER
Competitor013,0,136.056,72.64,EMEA
Competitor014,0,50.748,66.105,APAC
Competitor015,0,122.137,126.102,AMER
Competitor016,0,132.177,65.76,EMEA
Competitor017,0,136.368,105.32,APAC
Competitor018,0,66.508,148.818,AMER
Competitor019,0,93.209,64.334,EMEA
Competitor020,0,111.176,148.585,APAC
Competitor021,0,65.424,122.014,AMER
Competitor022,0,70.272,71.134,EMEA
Competitor023,0,101.751,118.097,APAC
Competitor024,0,98.671,110.085,AMER
Competitor025,0,60.293,98.051,EMEA
Competitor026,0,85.731,94.291,APAC
Competitor027,0,89.145,129.697,AMER
Competitor028,0,128.534,149.486,EMEA
Competitor029,0,138.681,113.511,APAC
Competitor030,0,96.132,72.129,AMER
Competitor031,0,52.054,149.111,EMEA
Competitor032,0,84.292,62.316,APAC
Competitor033,0,119.578,81.717,AMER
Competitor034,0,103.135,130.653,EMEA
Competitor035,0,95.858,82.702,APAC
Competitor036,0,67.236,61.091,AMER
Competitor037,0,123.848,94.036,EMEA
Competitor038,0,109.728,75.091,APAC
Competitor039,0,101.282,102.056,AMER
Competitor040,0,140.101,98.462,EMEA
Competitor041,0,129.404,112.79,APAC
Competitor042,0,117.576,67.962,AMER
Competitor043,0,106.955,113.869,EMEA
Competitor044,0,110.811,125.422,APAC
Competitor045,0,71.118,124.136,AMER
Us,0,127.396,93.888,EMEA
Competitor001,1,62.058,104.403,EMEA
Competitor002,1,102.773,127.7,APAC
Competitor003,1,118.48,124.377,AMER
Competitor004,1,88.243,114.87,EMEA
Competitor005,1,115.992,144.079,APAC
Competitor006,1,54.503,89.805,AMER
Competitor007,1,119.116,67.899,EMEA
Competitor008,1,131.819,62.397,APAC
Competitor009,1,110.338,87.776,AMER
Competitor010,1,84.327,84.002,EMEA
Competitor011,1,80.577,53.805,APAC
Competitor012,1,140.534,135.661,AMER
Competitor013,1,136.854,73.307,EMEA
Competitor014,1,49.178,64.989,APAC
Competitor015,1,125.738,126.633,AMER
Competitor016,1,128.451,64.64,EMEA
Competitor017,1,135.414,105.63,APAC
Competitor018,1,70.009,145.861,AMER
Competitor019,1,93.188,65.253,EMEA
